Category,Group,SubGroup
Affluent Achievers,Lavish Lifestyles,Wealthy Homeowners
Affluent Achievers,Lavish Lifestyles,Established Families
Affluent Achievers,Lavish Lifestyles,Luxury Apartments
Affluent Achievers,Executive Wealth,Suburban Professionals
Affluent Achievers,Executive Wealth,Corporate Success
Affluent Achievers,Executive Wealth,Well-Off Retirees
Affluent Achievers,Mature Affluence,Comfortable Retirement
Affluent Achievers,Mature Affluence,Spacious Family Homes
Affluent Achievers,Mature Affluence,Established Wealth
Rising Prosperity,City Sophisticates,Urban Professionals
Rising Prosperity,City Sophisticates,Stylish Singles
Rising Prosperity,City Sophisticates,Central Apartments
Rising Prosperity,Career Climbers,Young Families
Rising Prosperity,Career Climbers,Upwardly Mobile
Rising Prosperity,Career Climbers,Modern Housing
Comfortable Communities,Settled Suburbia,Mature Families
Comfortable Communities,Settled Suburbia,Traditional Suburbs
Comfortable Communities,Settled Suburbia,Spacious Housing
Comfortable Communities,Intermediate Lifestyles,Stable Households
Comfortable Communities,Intermediate Lifestyles,Affordable Housing
Comfortable Communities,Intermediate Lifestyles,Suburban Comfort
Comfortable Communities,Comfortable Seniors,Independent Retirement
Comfortable Communities,Comfortable Seniors,Well-Established Homes
Comfortable Communities,Comfortable Seniors,Suburban Settlements
Financially Stretched,Modest Means,Low-Cost Housing
Financially Stretched,Modest Means,Frugal Families
Financially Stretched,Modest Means,Modest Apartments
Financially Stretched,Striving Families,Young Parents
Financially Stretched,Striving Families,Growing Communities
Financially Stretched,Striving Families,Budget Housing
Financially Stretched,Poorer Pensioners,Fixed Incomes
Financially Stretched,Poorer Pensioners,Low-Cost Retirement
Financially Stretched,Poorer Pensioners,Older Communities
Urban Adversity,Young Hardship,Unstable Employment
Urban Adversity,Young Hardship,Budget Apartments
Urban Adversity,Young Hardship,Young Singles
Urban Adversity,Struggling Estates,High-Density Housing
Urban Adversity,Struggling Estates,Economically Challenged
Urban Adversity,Struggling Estates,Low-Income Families
Urban Adversity,Difficult Circumstances,Temporary Housing
Urban Adversity,Difficult Circumstances,Low-Skilled Workers
Urban Adversity,Difficult Circumstances,Social Support Dependence

